('TBILLLOG1', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG2', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG3', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG4', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG5', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG6', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG7', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG8', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG9', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG10', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
('TBILLLOG11', None, None, None, 'VALID', None, None, None, None, None, None, None, None, None, None, None, None, 'N', None, None, None, None, None, None, None, None, '         1', '         1', '    N', 'ENABLED', None, None, 'YES', None, 'N', 'N', 'NO', 'DEFAULT', 'DEFAULT', 'DEFAULT', 'DISABLED', 'NO', 'NO', None, 'DISABLED', 'YES', None, 'DISABLED', None, None, 'NO', 'NO', 'N/A', 'DEFAULT')
